Date,Ave. Temp,Precipitation
2023-03-0818:00:00-05:00,32,
2023-03-0806:00:00-05:00,45,
2023-03-0718:00:00-05:00,33,
2023-03-0706:00:00-05:00,50,30
2023-03-0618:00:00-05:00,39,30
2023-03-0606:00:00-05:00,51,
2023-03-0518:00:00-05:00,36,
2023-03-0506:00:00-05:00,50,
2023-03-0418:00:00-05:00,37,
2023-03-0406:00:00-05:00,47,100
2023-03-0318:00:00-05:00,40,100
2023-03-0306:00:00-05:00,45,40
2023-03-0218:00:00-05:00,35,
2023-03-0214:00:00-05:00,51,
2/28/23,35,0.34
2/27/23,39.5,0.21
2/26/23,40,0
2/25/23,28,
2/24/23,35,0
2/23/23,41,0.02
2/22/23,40.5,0.14
2/21/23,43.5,0.27
2/20/23,54,0
2/19/23,43.5,0
2/18/23,35,0
2/17/23,46.5,0.18
2/16/23,63,0.07
2/15/23,57,0
2/14/23,47,0
2/13/23,49,0
2/12/23,43,0.01
2/11/23,41,0
2/10/23,53,0
2/9/23,48.5,0
2/8/23,46,
2/7/23,36.5,0.02
2/6/23,43,0
2/5/23,38,0
2/4/23,15,0
2/3/23,23,0
2/2/23,34.5,0
2/1/23,32,0.02
1/31/23,40.5,0.06
1/30/23,49,0
1/29/23,47.5,0
1/28/23,44,0
1/27/23,39.5,0
1/26/23,49,0.44
1/25/23,44.5,0.9
1/24/23,40.5,0
1/23/23,37.5,0.41
1/22/23,39,0.51
1/21/23,39.5,
1/20/23,44.5,
1/19/23,42,0.87
1/18/23,47.5,0.05
1/17/23,41,
1/16/23,38,0
1/15/23,35.5,0
1/14/23,34.5,
1/13/23,47.5,0.09
1/12/23,46,0.3
1/11/23,37,0
1/10/23,39.5,0
1/9/23,40.5,0.01
1/8/23,37,0
1/7/23,41,0
1/6/23,44,0.27
1/5/23,47,0.01
1/4/23,57.5,0.02
1/3/23,52.5,0.42
1/2/23,52.5,0.02
1/1/23,52,
12/31/22,52.5,0.28
12/30/22,54,0
12/29/22,45.5,0
12/28/22,40,0
12/27/22,32,0
12/26/22,23.5,0
12/25/22,21,0
12/24/22,11,0
12/23/22,33,1.83
12/22/22,41,0.23
12/21/22,33.5,0
12/20/22,34.5,0
12/19/22,35,0
12/18/22,36,0
12/17/22,40,0
12/16/22,41,0.85
12/15/22,37.5,0.51
12/14/22,35,0
12/13/22,32.5,0
12/12/22,33,0.01
12/11/22,36.5,0.32
12/10/22,35.5,
12/9/22,40.5,0
12/8/22,48.5,0
12/7/22,56.5,0.26
12/6/22,50,1.05
12/5/22,42,0
12/4/22,41.5,0
12/3/22,51.5,0.49
12/2/22,39.5,0
12/1/22,39,0
11/30/22,49,0.5
11/29/22,40,0
11/28/22,47.5,
11/27/22,54,0.7
11/26/22,49.5,0
11/25/22,50.5,0.02
11/24/22,47,0
11/23/22,48.5,0
11/22/22,44,0
11/21/22,34,0
11/20/22,35,0
11/19/22,35.5,0
11/18/22,39,0
11/17/22,41.5,0
11/16/22,44.5,0.28
11/15/22,40.5,0.56
11/14/22,41,0
11/13/22,51,0.04
11/12/22,64.5,0.08
11/11/22,63.5,0.89
11/10/22,56.5,0
11/9/22,46.5,0
11/8/22,52.5,0
11/7/22,65.5,
11/6/22,70.5,
11/5/22,70,0
11/4/22,61.5,0
11/3/22,59.5,0
11/2/22,62,0
11/1/22,63,0.08
10/31/22,58,0.1
10/30/22,53,0
10/29/22,50.5,0
10/28/22,50.5,0
10/27/22,58.5,0
10/26/22,66,0
10/25/22,65.5,
10/24/22,58,0.52
10/23/22,57.5,0.02
10/22/22,57.5,0
10/21/22,54,0
10/20/22,51,0
10/19/22,48,0
10/18/22,51,
10/17/22,59.5,0.14
10/16/22,58,0
10/15/22,59,0
10/14/22,59.5,0.19
10/13/22,61.5,0.8
10/12/22,63.5,0
10/11/22,60.5,0
10/10/22,59.5,0
10/9/22,52.5,0
10/8/22,52.5,0.03
10/7/22,67,
10/6/22,63.5,0
10/5/22,56.5,0.37
10/4/22,50.5,1.85
10/3/22,50,0.47
10/2/22,55,
10/1/22,56,0.59
9/30/22,57,0
9/29/22,59.5,0
9/28/22,61,0
9/27/22,64.5,0
9/26/22,66,0
9/25/22,65.5,1.11
9/24/22,59,0
9/23/22,57,0
9/22/22,66,0.47
9/21/22,71,0
9/20/22,73,0
9/19/22,76.5,0.14
9/18/22,75,0
9/17/22,70,0
9/16/22,66,0
9/15/22,68,0
9/14/22,71,0
9/13/22,75,0.41
9/12/22,74.5,0.81
9/11/22,71.5,0.32
9/10/22,75,0
9/9/22,71,0
9/8/22,71.5,0
9/7/22,68.5,0
9/6/22,70.5,0.78
9/5/22,80.5,0.06
9/4/22,80.5,
9/3/22,73.5,0
9/2/22,70.5,0
9/1/22,77.5,0
8/31/22,77,
8/30/22,81,0.12
8/29/22,80,0
8/28/22,77.5,0
8/27/22,82,0
8/26/22,80.5,0.24
8/25/22,81.5,0
8/24/22,80.5,0
8/23/22,79,
8/22/22,76,0.23
8/21/22,77,0
8/20/22,82,0
8/19/22,79.5,0
8/18/22,74.5,0
8/17/22,72,0.34
8/16/22,74.5,0
8/15/22,75.5,0
8/14/22,74,0
8/13/22,72,0
8/12/22,78,0
8/11/22,80.5,0.11
8/10/22,81,0
8/9/22,87.5,0.03
8/8/22,86,0
8/7/22,84,0.16
8/6/22,84.5,0
8/5/22,83.5,0
8/4/22,84.5,0
8/3/22,80,0
8/2/22,81,
8/1/22,72.5,0.48
7/31/22,78.5,
7/30/22,80,
7/29/22,78.5,0.1
7/28/22,80,0.02
7/27/22,77.5,0
7/26/22,76,0
7/25/22,79.5,0.98
7/24/22,87,0
7/23/22,86.5,0
7/22/22,86,
7/21/22,83,0.16
7/20/22,86.5,0
7/19/22,81.5,0
7/18/22,75,1.85
7/17/22,77,
7/16/22,75.5,1.11
7/15/22,79.5,0
7/14/22,81,0
7/13/22,82.5,0
7/12/22,80,0
7/11/22,76,0
7/10/22,75,0
7/9/22,78,0
7/8/22,75.5,0.24
7/7/22,76.5,0
7/6/22,78,0
7/5/22,78.5,0.09
7/4/22,75,0
7/3/22,80.5,0
7/2/22,80,
7/1/22,82,0
6/30/22,77.5,0
6/29/22,75,0
6/28/22,72.5,0
6/27/22,73,0.29
6/26/22,81.5,0
6/25/22,79.5,0
6/24/22,72,0
6/23/22,67.5,0.08
6/22/22,64.5,0.02
6/21/22,71.5,0.06
6/20/22,67.5,0
6/19/22,63.5,0
6/18/22,66.5,0
6/17/22,78.5,0
6/16/22,66,0.32
6/15/22,74.5,0
6/14/22,74.5,0
6/13/22,76.5,
6/12/22,67.5,0.05
6/11/22,70,
6/10/22,70,0
6/9/22,73,0.83
6/8/22,74,0.03
6/7/22,70.5,0.08
6/6/22,71.5,0
6/5/22,67,0
6/4/22,70.5,0
6/3/22,69,
6/2/22,70.5,0.45
6/1/22,66,0.71
5/31/22,79,0
5/30/22,73.5,0
5/29/22,68,0
5/28/22,68.5,0.72
5/27/22,72.5,0.27
5/26/22,62,0
5/25/22,61.5,0
5/24/22,62,
5/23/22,67,0
5/22/22,80.5,0
5/21/22,76,0
5/20/22,62,0.4
5/19/22,60,0.73
5/18/22,63.5,0.01
5/17/22,67,0
5/16/22,68,0.12
5/15/22,68,0.1
5/14/22,66,0.22
5/13/22,64.5,0.03
5/12/22,66.5,0
5/11/22,64,0
5/10/22,62,0
5/9/22,58.5,0
5/8/22,51.5,
5/7/22,47.5,0.92
5/6/22,55,0.69
5/5/22,65,0
5/4/22,57.5,0.08
5/3/22,56.5,0
5/2/22,53.5,0.23
5/1/22,58,
4/30/22,56,0
4/29/22,52,0
4/28/22,49,0
4/27/22,49.5,0
4/26/22,56,0.02
4/25/22,52,0
4/24/22,55.5,0
4/23/22,58,0
4/22/22,61.5,0
4/21/22,51.5,0
4/20/22,51,0
4/19/22,44.5,1.24
4/18/22,46.5,0.85
4/17/22,46,0
4/16/22,58.5,0.2
4/15/22,61,0
4/14/22,68,0.06
4/13/22,63,0
4/12/22,61,0.07
4/11/22,50.5,0
4/10/22,46,
4/9/22,51,0.05
4/8/22,57,0.03
4/7/22,49.5,1.12
4/6/22,48.5,0.45
4/5/22,51,0.04
4/4/22,46.5,0
4/3/22,44,0.12
4/2/22,46,0
4/1/22,52,0.28
3/31/22,55.5,0.07
3/30/22,38,0
3/29/22,31,0
3/28/22,28,0
3/27/22,37,
3/26/22,47.5,
3/25/22,52,0.02
3/24/22,42.5,0.93
3/23/22,43.5,0.06
3/22/22,50.5,0
3/21/22,53,0
3/20/22,53.5,0
3/19/22,59.5,0.05
3/18/22,62,0
3/17/22,49,0.08
3/16/22,57.5,0
3/15/22,57,
3/14/22,44.5,0
3/13/22,28.5,
3/12/22,36,0.5
3/11/22,47.5,0
3/10/22,42,0
3/9/22,37,0.56
3/8/22,44.5,0
3/7/22,62,0.03
3/6/22,55.5,0.06
3/5/22,39,0
3/4/22,29,0
3/3/22,36,0.03
3/2/22,46,0
3/1/22,39.5,0
2/28/22,31,0
2/27/22,38,0
2/26/22,30.5,0
2/25/22,33.5,0.74
2/24/22,32,0
2/23/22,51.5,0
2/22/22,49,0.26
2/21/22,43.5,0
2/20/22,28.5,0
2/19/22,31.5,
2/18/22,45,0.33
2/17/22,58.5,0.31
2/16/22,38.5,0
2/15/22,23,0
2/14/22,20.5,0
2/13/22,33.5,0.23
2/12/22,50.5,0
2/11/22,47.5,0
2/10/22,45.5,0
2/9/22,37.5,0
2/8/22,38.5,0.07
2/7/22,33.5,0.15
2/6/22,23.5,0
2/5/22,23,0
2/4/22,41.5,0.72
2/3/22,47,0.42
2/2/22,39.5,0
2/1/22,29.5,0
1/31/22,26,0
1/30/22,19,0
1/29/22,20.5,0.77
1/28/22,30.5,0.13
1/27/22,24.5,0
1/26/22,24,0
1/25/22,35,0
1/24/22,31,
1/23/22,30.5,0.02
1/22/22,21,0
1/21/22,18,0
1/20/22,34,0.3
1/19/22,38.5,0
1/18/22,32.5,0
1/17/22,39,1.16
1/16/22,23.5,0.37
1/15/22,15.5,0
1/14/22,32,0
1/13/22,41,0
1/12/22,30,0
1/11/22,19.5,
1/10/22,32,0
1/9/22,34.5,0.1
1/8/22,25,0
1/7/22,29.5,0.38
1/6/22,37.5,0
1/5/22,39,0.23
1/4/22,26.5,0
1/3/22,29.5,0
1/2/22,48,0.04
1/1/22,53,0.79
12/31/21,51.5,
12/30/21,46,0.05
12/29/21,42.5,0.14
12/28/21,41.5,0.05
12/27/21,36.5,0.09
12/26/21,45,0
12/25/21,44,0.16
12/24/21,35,0.03
12/23/21,33.5,0
12/22/21,40,0.12
12/21/21,37,0
12/20/21,31,0
12/19/21,36.5,0.02
12/18/21,43.5,0.06
12/17/21,54,0
12/16/21,58,0
12/15/21,48.5,
12/14/21,48.5,0
12/13/21,46.5,0
12/12/21,49,0
12/11/21,55.5,0.17
12/10/21,44,0
12/9/21,35,0
12/8/21,38,0.04
12/7/21,39.5,0
12/6/21,52,0.42
12/5/21,44,0
12/4/21,42,0
12/3/21,42.5,0
12/2/21,51.5,0.04
12/1/21,44.5,
11/30/21,36,
11/29/21,39,
11/28/21,37,
11/27/21,36.5,0
11/26/21,42,0.12
11/25/21,47.5,0.01
11/24/21,37.5,0
11/23/21,37,0
11/22/21,45,0.04
11/21/21,50,0.01
11/20/21,41,0
11/19/21,43.5,0.01
11/18/21,57.5,0.09
11/17/21,47.5,0
11/16/21,42.5,0
11/15/21,43,
11/14/21,43,0.02
11/13/21,51,0.33
11/12/21,58,0.48
11/11/21,53,0.01
11/10/21,56.5,0
11/9/21,59,0
11/8/21,53.5,0
11/7/21,46.5,0
11/6/21,46,0
11/5/21,45,0
11/4/21,44.5,0
11/3/21,46,0
11/2/21,48.5,
11/1/21,54,0
10/31/21,59,0.04
10/30/21,58.5,0.57
10/29/21,51.5,0.41
10/28/21,53,0
10/27/21,57,0.16
10/26/21,58.5,3.3
10/25/21,64,0.23
10/24/21,53,0.03
10/23/21,53.5,0.01
10/22/21,63,0
10/21/21,66,0
10/20/21,65.5,0
10/19/21,56.5,0
10/18/21,53.5,0
10/17/21,56,
10/16/21,66,0.25
10/15/21,71,0
10/14/21,69,0
10/13/21,65,0
10/12/21,65,0
10/11/21,66,0
10/10/21,63.5,0.11
10/9/21,63.5,0
10/8/21,68.5,0
10/7/21,67.5,0
10/6/21,65,0
10/5/21,62.5,
10/4/21,67.5,0.15
10/3/21,69,0
10/2/21,65.5,0
9/30/21,60,0
9/29/21,61,
9/28/21,66,0.27
9/27/21,70,0
9/26/21,66,0
9/25/21,66,0
9/24/21,64.5,0.66
9/23/21,71.5,1.37
9/22/21,75.5,0.01
9/21/21,69.5,0.09
9/20/21,69,0
9/19/21,70,0
9/18/21,76.5,0
9/17/21,72,
9/16/21,73.5,0
9/15/21,78,
9/14/21,73.5,0
9/13/21,75,0.12
9/12/21,73.5,0
9/11/21,68,0
9/10/21,68.5,0
9/9/21,72,0.26
9/8/21,76,0
9/7/21,72,0
9/6/21,75,
9/5/21,70.5,0.02
9/4/21,70,0
9/3/21,66.5,0
9/2/21,69,0.1
9/1/21,70.5,7.13
8/31/21,78,0
8/30/21,79,
8/29/21,71.5,0
8/28/21,74,
8/27/21,84,0.67
8/26/21,84.5,0
8/25/21,81.5,0
8/24/21,80.5,0
8/23/21,77,1.07
8/22/21,73,2.67
8/21/21,77.5,4.45
8/20/21,78.5,
8/19/21,80,0.2
8/18/21,78.5,0
8/17/21,77,
8/16/21,76,0
8/15/21,76.5,0
8/14/21,82,0
8/13/21,86,
8/12/21,83.5,
8/11/21,81,0.18
8/10/21,77.5,0.83
8/9/21,75,
8/8/21,71.5,0.21
8/7/21,80,0
8/6/21,79,0
8/5/21,75,0
8/4/21,71.5,0
8/3/21,72,0
8/2/21,71.5,0
8/1/21,71.5,0.04
7/31/21,68.5,0
7/30/21,74.5,0
7/29/21,73,0.47
7/28/21,75,0.14
7/27/21,81,
7/26/21,80,0.78
7/25/21,74.5,0.49
7/24/21,75.5,0
7/23/21,75,0.01
7/22/21,74,0
7/21/21,75,0.05
7/20/21,79.5,0
7/19/21,76,0.01
7/18/21,78,0.03
7/17/21,82,0.62
7/16/21,85,0
7/15/21,81.5,0
7/14/21,78,
7/13/21,70.5,
7/12/21,79,1.42
7/11/21,74,0.01
7/10/21,74.5,0.27
7/9/21,77.5,2.06
7/8/21,77.5,2.27
7/7/21,81,0
7/6/21,81.5,0.55
7/5/21,75,0
7/4/21,69.5,0
7/3/21,62.5,0.34
7/2/21,70.5,0.67
7/1/21,78,0.9
6/30/21,85.5,0.65
6/29/21,86.5,0
6/28/21,84,0
6/27/21,81.5,0
6/26/21,75.5,0.04
6/25/21,72.5,0
6/24/21,69,0
6/23/21,65.5,0
6/22/21,68.5,0.24
6/21/21,80.5,
6/20/21,76,0
6/19/21,76.5,0.14
6/18/21,73.5,0
6/17/21,67.5,0
6/16/21,69.5,0
6/15/21,73,
6/14/21,68.5,0.22
6/13/21,69,0.01
6/12/21,65.5,0
6/11/21,65.5,
6/10/21,74.5,0
6/9/21,81,0.01
6/8/21,81,0.47
6/7/21,83.5,0.07
6/6/21,84,0
6/5/21,77.5,0
6/4/21,70.5,0.39
6/3/21,67,0.38
6/2/21,68.5,0
6/1/21,66.5,0
5/31/21,59.5,0.02
5/30/21,49,0.89
5/29/21,49,0.46
5/28/21,59,1.22
5/27/21,73,0.02
5/26/21,75.5,0.07
5/25/21,65.5,0
5/24/21,63.5,0
5/23/21,78,0
5/22/21,77,0
5/21/21,68.5,0
5/20/21,67.5,0
5/19/21,75.5,0
5/18/21,71,0
5/17/21,67,0
5/16/21,67,0.01
5/15/21,67,
5/14/21,64,0
5/13/21,61,0
5/12/21,57,0
5/11/21,58,0
5/10/21,53.5,0.03
5/9/21,55.5,0.47
5/8/21,51.5,0.05
5/7/21,57.5,0
5/6/21,58,0
5/5/21,57,0.31
5/4/21,62.5,0.23
5/3/21,59,0.58
5/2/21,69,
5/1/21,53.5,0
4/30/21,58.5,0.03
4/29/21,67,0.02
4/28/21,68.5,0.05
4/27/21,55,
4/26/21,50.5,0
4/25/21,56,0.59
4/24/21,62,0
4/23/21,51.5,0
4/22/21,42,0
4/21/21,53.5,0.11
4/20/21,64.5,0
4/19/21,58.5,
4/18/21,56.5,0
4/17/21,49.5,0
4/16/21,47,0.04
4/15/21,51.5,0.83
4/14/21,60,0
4/13/21,54.5,0.06
4/12/21,48,0.49
4/11/21,52,0.42
4/10/21,60.5,0.01
4/9/21,54,0.01
4/8/21,59.5,0
4/7/21,61.5,0
4/6/21,58.5,0
4/5/21,58,0
4/4/21,55,0
4/3/21,42.5,0
4/2/21,33.5,0
3/31/21,58.5,0.35
3/30/21,51.5,0
3/29/21,50,
3/28/21,54,0.76
3/27/21,59.5,0
3/26/21,67,0.19
3/25/21,58.5,0.01
3/24/21,51.5,1.27
3/23/21,54.5,0
3/22/21,52,0
3/21/21,52.5,0
3/20/21,46,0
3/19/21,37,0.07
3/18/21,44,0.6
3/17/21,40.5,0
3/16/21,33,
3/15/21,31.5,0
3/14/21,42.5,0
3/13/21,42.5,0
3/12/21,60,
3/11/21,57.5,0
3/10/21,47.5,0
3/9/21,53,0
3/8/21,34.5,0
3/7/21,35,0
3/6/21,31.5,0
3/5/21,30,0
3/4/21,36,0
3/3/21,42,0
3/2/21,27,0
3/1/21,40,0.16
2/28/21,43,0.22
2/27/21,44,0.39
2/26/21,39,0
2/25/21,45,0
2/24/21,46.5,0
2/23/21,40.5,0.01
2/22/21,35.5,0.52
2/21/21,30.5,0
2/20/21,30.5,0
2/19/21,30.5,0.14
2/18/21,27,0.45
2/17/21,28,0
2/16/21,42.5,0.82
2/15/21,33.5,0.02
2/14/21,32.5,0
2/13/21,27.5,
2/12/21,25,0
2/11/21,29.5,0.1
2/10/21,30.5,0.01
2/9/21,30,
2/8/21,23,0
2/7/21,32,0.39
2/6/21,39,0
2/5/21,42,0.07
2/4/21,37,0
2/3/21,33,0.01
2/2/21,31.5,0.13
2/1/21,28,1.85
1/31/21,23,0.12
1/30/21,24.5,0
1/29/21,19.5,0
1/28/21,27,0
1/27/21,34,0
1/26/21,32.5,0.1
1/25/21,30,0
1/24/21,27,0
1/23/21,30,0
1/22/21,40.5,0
1/21/21,34,0
1/20/21,33.5,0.02
1/19/21,39,0
1/18/21,41,0
1/17/21,39.5,0
1/16/21,42,0.78
1/15/21,42,0.38
1/14/21,44,0
1/13/21,39,0
1/12/21,38.5,0
1/11/21,32.5,0
1/10/21,35,0
1/9/21,30.5,0
1/8/21,32,0
1/7/21,35.5,0
1/6/21,37.5,0
1/5/21,39,0
1/4/21,39,0.02
1/3/21,36,0.22
1/2/21,43.5,0.05
1/1/21,36.5,0.62
12/31/20,42,0.48
12/30/20,35.5,0
12/29/20,36.5,0
12/28/20,42.5,
12/27/20,30.5,0
12/26/20,28,0
12/25/20,45,0.92
12/24/20,51,0.24
12/23/20,40.5,0
12/22/20,42,
12/21/20,41.5,0
12/20/20,35.5,0.01
12/19/20,26,0
12/18/20,28,0
12/17/20,28.5,0.66
12/16/20,27.5,0.86
12/15/20,34.5,0
12/14/20,41,0.26
12/13/20,54.5,0
12/12/20,52,
12/11/20,48,0
12/10/20,42.5,0
12/9/20,34.5,0.05
12/8/20,33,0
12/7/20,36,0
12/6/20,36.5,0
12/5/20,43,1.02
12/4/20,48,0.11
12/3/20,42.5,0
12/2/20,39.5,
12/1/20,49.5,
11/30/20,56.5,0.98
11/29/20,47.5,0
11/28/20,50,
11/27/20,57,0
11/26/20,60,0.79
11/25/20,50.5,0
11/24/20,44.5,0
11/23/20,51,0.54
11/22/20,51.5,
11/21/20,56.5,0
11/20/20,54,0
11/19/20,39,0
11/18/20,33,0
11/17/20,43,0
11/16/20,49.5,0
11/15/20,52.5,0.07
11/14/20,47,0
11/13/20,48.5,0.19
11/12/20,57,0.24
11/11/20,68,0.78
11/10/20,67,0
11/9/20,64.5,0
11/8/20,65.5,0
11/7/20,65,0
11/6/20,63,0
11/5/20,59.5,0
11/4/20,51,0
11/3/20,46.5,0
11/2/20,41,
11/1/20,49,0.4
10/31/20,39,0
10/30/20,42,0.64
10/29/20,51,1.53
10/28/20,54.5,0.11
10/27/20,55.5,
10/26/20,55,0.02
10/25/20,49,0.02
10/24/20,58.5,0
10/23/20,66,0
10/22/20,66,0
10/21/20,63.5,0
10/20/20,64,
10/19/20,58,0
10/18/20,54,0
10/17/20,51.5,0.01
10/16/20,56.5,1.36
10/15/20,64,0
10/14/20,58.5,0
10/13/20,55.5,0.34
10/12/20,53,0.96
10/11/20,62,
10/10/20,64.5,0
10/9/20,59.5,0
10/8/20,58.5,0
10/7/20,67,0.02
10/6/20,63,0
10/5/20,61.5,0
10/4/20,59,0
10/3/20,59,0
10/2/20,59,0.04
10/1/20,66,
9/30/20,65.5,1.14
9/29/20,70.5,0.47
9/28/20,73,0.02
9/27/20,73,0.03
9/26/20,69.5,0
9/25/20,69.5,0
9/24/20,68.5,0
9/23/20,68,0
9/22/20,59.5,0
9/21/20,57,0
9/20/20,57.5,0
9/19/20,56.5,0
9/18/20,62.5,0
9/17/20,69.5,0
9/16/20,63.5,0
9/15/20,60,0
9/14/20,67,0
9/13/20,67.5,0
9/12/20,67.5,0
9/11/20,70,
9/10/20,77.5,1.2
9/9/20,75,0
9/8/20,76,0
9/7/20,72.5,0
9/6/20,74,0
9/5/20,72.5,0
9/4/20,77,0
9/3/20,77.5,0.71
9/2/20,74,0.14
9/1/20,71.5,0.23
8/31/20,70,0
8/30/20,73,0
8/29/20,76.5,0.01
8/28/20,78,
8/27/20,78,0.42
8/26/20,72,0
8/25/20,80,0.36
8/24/20,82.5,0
8/23/20,80,0
8/22/20,80.5,
8/21/20,75.5,0
8/20/20,71,0
8/19/20,70.5,0.14
8/18/20,72.5,0.2
8/17/20,72.5,0.14
8/16/20,69.5,0.21
8/15/20,77.5,0
8/14/20,79.5,0
8/13/20,75.5,0.24
8/12/20,81,1.76
8/11/20,83,
8/10/20,84,0
8/9/20,79.5,0
8/8/20,75.5,0
8/7/20,73.5,0.46
8/6/20,76.5,
8/5/20,79.5,0
8/4/20,74.5,0.55
8/3/20,79,0.54
8/2/20,83,0
8/1/20,79.5,0
7/31/20,76,0.78
7/30/20,83,0.08
7/29/20,83.5,0
7/28/20,86.5,0
7/27/20,84.5,0
7/26/20,84.5,0
7/25/20,80,0
7/24/20,76,0.19
7/23/20,79.5,
7/22/20,82,1.42
7/21/20,84,0
7/20/20,87,0
7/19/20,85.5,0
7/18/20,81.5,0
7/17/20,76.5,0.03
7/16/20,73.5,0
7/15/20,76,0
7/14/20,77.5,0
7/13/20,78,0.02
7/12/20,79,0.04
7/11/20,77.5,0.76
7/10/20,75,2.54
7/9/20,82,0
7/8/20,79,0.02
7/7/20,77,0
7/6/20,83,0.54
7/5/20,82,0
7/4/20,77.5,0
7/3/20,80.5,0.13
7/2/20,80,0
6/30/20,73.5,
6/29/20,76,0.58
6/28/20,80,0.11
6/27/20,76,0.09
6/26/20,78,0
6/25/20,79.5,0
6/24/20,80,0
6/23/20,80.5,
6/22/20,81,0
6/21/20,79,0
6/20/20,78,0
6/19/20,74,
6/18/20,71,
6/17/20,69,0
6/16/20,69,0
6/15/20,67,0
6/14/20,64,0
6/13/20,67,0
6/12/20,77,0
6/11/20,77,0.05
6/10/20,77.5,0
6/9/20,76,0
6/8/20,69,0
6/7/20,69.5,0
6/6/20,78,0.06
6/5/20,74,0.26
6/4/20,75,0.16
6/3/20,69.5,0.45
6/2/20,65.5,
6/1/20,60.5,0
5/31/20,63,0
5/30/20,74,0.02
5/29/20,74,0.03
5/28/20,70,
5/27/20,69.5,0
5/26/20,68,0
5/25/20,63,0
5/24/20,59.5,0
5/23/20,61,0.65
5/22/20,65.5,0.03
5/21/20,57,0
5/20/20,57.5,0
5/19/20,60.5,0
5/18/20,62,0
5/17/20,62,
5/16/20,68,0.01
5/15/20,72,0.07
5/14/20,57,
5/13/20,52.5,0
5/12/20,51,0
5/11/20,52.5,0.05
5/10/20,51.5,0
5/9/20,41,0.03
5/8/20,46.5,0.45
5/7/20,56.5,0
5/6/20,48.5,0.06
5/5/20,54.5,0
5/4/20,62.5,
5/3/20,67,0.04
5/2/20,62,
5/1/20,59.5,0.21
4/29/20,53,0.01
4/28/20,54,0
4/27/20,44.5,
4/26/20,46.5,0.22
4/25/20,54.5,0
4/24/20,45.5,0.48
4/23/20,46,0.13
4/22/20,43.5,0
4/21/20,50,0.18
4/20/20,52.5,0
4/19/20,51.5,0
4/18/20,43.5,0.22
4/17/20,43.5,0.07
4/16/20,44,0
4/15/20,48,
4/14/20,53.5,
4/13/20,60,1.92
4/12/20,53.5,0
4/11/20,47,0
4/10/20,43,0.01
4/9/20,51,0.12
4/8/20,56.5,0.2
4/7/20,60,0
4/6/20,57.5,0.07
4/5/20,56,0
4/4/20,54,0.02
4/3/20,48.5,0.13
4/2/20,48,0
4/1/20,47,0
3/31/20,45,0.06
3/30/20,46.5,0.04
3/29/20,45.5,0.05
3/28/20,49,0.45
3/27/20,59.5,
3/26/20,49,0
3/25/20,42.5,0.01
3/24/20,45.5,0
3/23/20,38.5,1.16
3/22/20,39,0
3/21/20,52.5,0
3/20/20,62,
3/19/20,46.5,0.93
3/18/20,47.5,
3/17/20,47.5,0.16
3/16/20,39,0
3/15/20,47,0
3/14/20,50,0
3/13/20,57.5,0.26
3/12/20,46.5,0.03
3/11/20,50,0
3/10/20,59.5,
3/9/20,59.5,0
3/8/20,47,0
3/7/20,42,0
3/6/20,41,0.37
3/5/20,45,0
3/4/20,50.5,
3/3/20,54,0.26
3/2/20,49,0
3/1/20,34.5,0
10/1/21,59,0
4/1/21,48,0.03
7/1/20,73.5,0.03