date,weather,high_temp,low_temp
2021-09-08,Light intensity shower rain,+79°,+72°
2021-09-09,Heavy intensity rain,+72°,+73°
2021-09-10,Clear sky,+73°,+68°
2021-09-11,Broken clouds,+75°,+64°
2021-09-12,Few clouds,+82°,+70°
2021-09-13,Broken clouds,+82°,+77°
2021-09-14,Partly cloudy,+77°,+73°
2021-09-15,Few clouds,+84°,+73°
2021-09-16,Overcast clouds,+73°,+72°
2021-09-17,Overcast clouds,+73°,+70°
2021-09-18,Few clouds,+81°,+72°
2021-09-19,Clear sky,+75°,+72°
2021-09-20,Broken clouds,+73°,+64°
2021-09-21,Broken clouds,+73°,+66°
2021-09-22,Few clouds,+77°,+72°
2021-09-23,Light rain,+77°,+75°
2021-09-24,Clear sky,+73°,+66°
2021-09-25,Clear sky,+75°,+63°
2021-09-26,Partly cloudy,+72°,+64°
2021-09-27,Clear sky,+79°,+63°
2021-09-28,Heavy rain in places,+72°,+70°
2021-09-29,Overcast clouds,+66°,+59°
2021-09-30,Broken clouds,+64°,+61°
2021-10-01,Clear sky,+66°,+57°
2021-10-02,Partly cloudy,+73°,+57°
2021-10-03,Few clouds,+75°,+64°
2021-10-04,Light intensity drizzle,+68°,+70°
2021-10-05,Overcast clouds,+64°,+63°
2021-10-06,Overcast clouds,+68°,+63°
2021-10-07,Broken clouds,+70°,+64°
2021-10-08,Partly cloudy,+73°,+64°
2021-10-09,Broken clouds,+66°,+64°
2021-10-10,Drizzle,+63°,+63°
2021-10-11,Broken clouds,+70°,+63°
2021-10-12,Overcast clouds,+70°,+63°
2021-10-13,Overcast clouds,+70°,+63°
2021-10-14,Partly cloudy,+75°,+66°
2021-10-15,Broken clouds,+75°,+64°
2021-10-16,Broken clouds,+73°,+68°
2021-10-17,Few clouds,+63°,+57°
2021-10-18,Few clouds,+59°,+54°
2021-10-19,Clear sky,+64°,+50°
2021-10-20,Clear sky,+73°,+59°
2021-10-21,Few clouds,+72°,+63°
2021-10-22,Broken clouds,+66°,+64°
2021-10-23,Overcast clouds,+57°,+55°
2021-10-24,Broken clouds,+57°,+52°
2021-10-25,Broken clouds,+72°,+59°
2021-10-26,Drizzle,+61°,+61°
2021-10-27,Broken clouds,+59°,+54°
2021-10-28,Overcast clouds,+55°,+52°
2021-10-29,Overcast clouds,+54°,+52°
2021-10-30,Few clouds,+63°,+54°
2021-10-31,Broken clouds,+63°,+55°
2021-11-01,Clear sky,+57°,+55°
2021-11-02,Overcast clouds,+52°,+48°
2021-11-03,Clear sky,+50°,+45°
2021-11-04,Broken clouds,+48°,+41°
2021-11-05,Clear sky,+50°,+43°
2021-11-06,Clear sky,+50°,+41°
2021-11-07,Broken clouds,+54°,+43°
2021-11-08,Clear sky,+61°,+46°
2021-11-09,Clear sky,+66°,+52°
2021-11-10,Clear sky,+64°,+55°
2021-11-11,Broken clouds,+57°,+48°
2021-11-12,Moderate rain,+61°,+59°
2021-11-13,Overcast clouds,+59°,+52°
2021-11-14,Overcast clouds,+48°,+41°
2021-11-15,Overcast clouds,+46°,+43°
2021-11-16,Partly cloudy,+48°,+41°
2021-11-17,Overcast clouds,+54°,+39°
2021-11-18,Few clouds,+64°,+55°
2021-11-19,Clear sky,+48°,+48°
2021-11-20,Broken clouds,+46°,+37°
2021-11-21,Partly cloudy,+54°,+45°
2021-11-22,Overcast clouds,+50°,+54°
2021-11-23,Few clouds,+41°,+36°
2021-11-24,Clear sky,+45°,+34°
2021-11-25,Broken clouds,+52°,+41°
2021-11-26,Light rain,+43°,+46°
2021-11-27,Clear sky,+41°,+36°
2021-11-28,Broken clouds,+39°,+36°
2021-11-29,Few clouds,+41°,+39°
2021-11-30,Overcast clouds,+39°,+32°
2021-12-01,Broken clouds,+48°,+39°
2021-12-02,Overcast clouds,+55°,+45°
2021-12-03,Broken clouds,+46°,+48°
2021-12-04,Few clouds,+48°,+37°
2021-12-05,Partly cloudy,+46°,+39°
2021-12-06,Partly cloudy,+59°,+50°
2021-12-07,Overcast clouds,+43°,+43°
2021-12-08,Drizzle,+39°,+37°
2021-12-09,Broken clouds,+39°,+34°
2021-12-10,Broken clouds,+48°,+37°
2021-12-11,Overcast clouds,+59°,+46°
2021-12-12,Clear sky,+48°,+50°
2021-12-13,Clear sky,+52°,+41°
2021-12-14,Few clouds,+52°,+45°
2021-12-15,Broken clouds,+50°,+41°
2021-12-16,Broken clouds,+61°,+55°
2021-12-17,Broken clouds,+59°,+59°
2021-12-18,Drizzle,+41°,+46°
2021-12-19,Broken clouds,+41°,+46°
2021-12-20,Clear sky,+37°,+30°
2021-12-21,Broken clouds,+43°,+34°
2021-12-22,Clear sky,+46°,+41°
2021-12-23,Broken clouds,+36°,+32°
2021-12-24,Clear sky,+41°,+34°
2021-12-25,Light intensity drizzle,+45°,+39°
2021-12-26,Few clouds,+46°,+48°
2021-12-27,Snow,+36°,+39°
2021-12-28,Overcast clouds,+50°,+39°
2021-12-29,Overcast clouds,+45°,+41°
2021-12-30,Broken clouds,+46°,+45°
2021-12-31,Overcast clouds,+52°,+48°
2022-01-01,Heavy intensity rain,+54°,+50°
2022-01-02,Overcast clouds,+55°,+52°
2022-01-03,Snow,+28°,+37°
2022-01-04,Few clouds,+34°,+25°
2022-01-05,Heavy rain in places,+41°,+34°
2022-01-06,Partly cloudy,+41°,+41°
2022-01-07,Clear sky,+34°,+32°
2022-01-08,Clear sky,+30°,+25°
2022-01-09,Drizzle,+37°,+28°
2022-01-10,Clear sky,+30°,+37°
2022-01-11,Clear sky,+19°,+23°
2022-01-12,Partly cloudy,+37°,+21°
2022-01-13,Broken clouds,+45°,+34°
2022-01-14,Broken clouds,+41°,+37°
2022-01-15,Overcast clouds,+19°,+21°
2022-01-16,Overcast clouds,+25°,+16°
2022-01-17,Overcast clouds,+37°,+37°
2022-01-18,Few clouds,+36°,+32°
2022-01-19,Broken clouds,+45°,+28°
2022-01-20,Snow,+34°,+43°
2022-01-21,Broken clouds,+23°,+21°
2022-01-22,Clear sky,+28°,+19°
2022-01-23,Broken clouds,+34°,+27°
2022-01-24,Overcast clouds,+30°,+30°
2022-01-25,Broken clouds,+43°,+36°
2022-01-26,Clear sky,+27°,+27°
2022-01-27,Clear sky,+30°,+21°
2022-01-28,Cloudy and light snow,+32°,+30°
2022-01-29,Heavy snow,+18°,+27°
2022-01-30,Clear sky,+23°,+14°
2022-01-31,Overcast clouds,+28°,+18°
2022-02-01,Partly cloudy,+34°,+21°
2022-02-02,Overcast clouds,+41°,+34°
2022-02-03,Heavy intensity rain,+45°,+43°
2022-02-04,Shower sleet,+34°,+50°
2022-02-05,Clear sky,+30°,+28°
2022-02-06,Broken clouds,+28°,+21°
2022-02-07,Drizzle,+36°,+32°
2022-02-08,Few clouds,+45°,+36°
2022-02-09,Clear sky,+43°,+34°
2022-02-10,Few clouds,+50°,+39°
2022-02-11,Clear sky,+54°,+36°
2022-02-12,Overcast clouds,+57°,+50°
2022-02-13,Snow,+32°,+41°
2022-02-14,Few clouds,+25°,+25°
2022-02-15,Clear sky,+30°,+19°
2022-02-16,Broken clouds,+43°,+28°
2022-02-17,Overcast clouds,+59°,+48°
2022-02-18,Clear sky,+43°,+55°
2022-02-19,Overcast clouds,+37°,+30°
2022-02-20,Partly cloudy,+34°,+25°
2022-02-21,Broken clouds,+50°,+34°
2022-02-22,Overcast clouds,+54°,+45°
2022-02-23,Broken clouds,+66°,+59°
2022-02-24,Overcast clouds,+34°,+34°
2022-02-25,Light intensity drizzle,+37°,+32°
2022-02-26,Broken clouds,+34°,+27°
2022-02-27,Clear sky,+43°,+32°
2022-02-28,Clear sky,+32°,+34°
2022-03-01,Drizzle,+43°,+30°
2022-03-02,Clear sky,+48°,+45°
2022-03-03,Partly cloudy,+41°,+45°
2022-03-04,Few clouds,+34°,+25°
2022-03-05,Overcast clouds,+43°,+32°
2022-03-06,Heavy rain in places,+59°,+46°
2022-03-07,Broken clouds,+70°,+64°
2022-03-08,Broken clouds,+46°,+50°
2022-03-09,Shower sleet,+36°,+39°
2022-03-10,Overcast clouds,+48°,+34°
2022-03-11,Clear sky,+52°,+41°
2022-03-12,Heavy snow,+32°,+45°
2022-03-13,Few clouds,+36°,+25°
2022-03-14,Clear sky,+54°,+34°
2022-03-15,Broken clouds,+61°,+48°
2022-03-16,Clear sky,+63°,+54°
2022-03-17,Heavy intensity rain,+54°,+48°
2022-03-18,Clear sky,+70°,+55°
2022-03-19,Broken clouds,+64°,+52°
2022-03-20,Overcast clouds,+57°,+59°
2022-03-21,Clear sky,+61°,+46°
2022-03-22,Broken clouds,+55°,+50°
2022-03-23,Overcast clouds,+48°,+43°
2022-03-24,Overcast clouds,+52°,+43°
2022-03-25,Broken clouds,+61°,+46°
2022-03-26,Heavy intensity rain,+48°,+50°
2022-03-27,Overcast clouds,+45°,+43°
2022-03-28,Broken clouds,+30°,+28°
2022-03-29,Broken clouds,+37°,+25°
2022-03-30,Overcast clouds,+43°,+30°
2022-03-31,Overcast clouds,+63°,+45°
2022-04-01,Partly cloudy,+54°,+59°
2022-04-02,Few clouds,+50°,+41°
2022-04-03,Light intensity drizzle,+45°,+45°
2022-04-04,Overcast clouds,+52°,+41°
2022-04-05,Overcast clouds,+52°,+45°
2022-04-06,Light intensity drizzle,+50°,+46°
2022-04-07,Heavy intensity rain,+48°,+48°
2022-04-08,Clear sky,+61°,+52°
2022-04-09,Few clouds,+54°,+52°
2022-04-10,Broken clouds,+48°,+46°
2022-04-11,Broken clouds,+57°,+41°
2022-04-12,Few clouds,+66°,+52°
2022-04-13,Partly cloudy,+66°,+57°
2022-04-14,Broken clouds,+79°,+63°
2022-04-15,Clear sky,+66°,+57°
2022-04-16,Few clouds,+66°,+57°
2022-04-17,Partly cloudy,+48°,+46°
2022-04-18,Overcast clouds,+50°,+41°
2022-04-19,Few clouds,+52°,+43°
2022-04-20,Few clouds,+57°,+41°
2022-04-21,Overcast clouds,+57°,+48°
2022-04-22,Clear sky,+66°,+54°
2022-04-23,Broken clouds,+61°,+52°
2022-04-24,Few clouds,+61°,+54°
2022-04-25,Broken clouds,+59°,+48°
2022-04-26,Drizzle,+61°,+54°
2022-04-27,Broken clouds,+55°,+54°
2022-04-28,Clear sky,+54°,+41°
2022-04-29,Clear sky,+59°,+45°
2022-04-30,Clear sky,+63°,+48°
2022-05-01,Broken clouds,+66°,+50°
2022-05-02,Drizzle,+55°,+55°
2022-05-03,Overcast clouds,+63°,+52°
2022-05-04,Broken clouds,+61°,+52°
2022-05-05,Broken clouds,+70°,+59°
2022-05-06,Heavy intensity rain,+55°,+59°
2022-05-07,Heavy intensity rain,+48°,+50°
2022-05-08,Overcast clouds,+57°,+45°
2022-05-09,Clear sky,+66°,+48°
2022-05-10,Clear sky,+68°,+52°
2022-05-11,Overcast clouds,+70°,+55°
2022-05-12,Overcast clouds,+70°,+61°
2022-05-13,Drizzle,+70°,+61°
2022-05-14,Overcast clouds,+70°,+63°
2022-05-15,Few clouds,+77°,+61°
2022-05-16,Heavy rain in places,+72°,+66°
2022-05-17,Few clouds,+75°,+61°
2022-05-18,Broken clouds,+70°,+59°
2022-05-19,Overcast clouds,+64°,+59°
2022-05-20,Few clouds,+72°,+59°
2022-05-21,Clear sky,+88°,+64°
2022-05-22,Few clouds,+86°,+75°
2022-05-23,Broken clouds,+72°,+68°
2022-05-24,Overcast clouds,+64°,+63°
2022-05-25,Broken clouds,+66°,+55°
2022-05-26,Few clouds,+66°,+55°
2022-05-27,Drizzle,+75°,+64°
2022-05-28,Thunderstorm with rain,+70°,+64°
2022-05-29,Broken clouds,+73°,+64°
2022-05-30,Broken clouds,+84°,+64°
2022-05-31,Few clouds,+91°,+75°
2022-06-01,Broken clouds,+72°,+68°
2022-06-02,Light rain,+77°,+63°
2022-06-03,Broken clouds,+75°,+66°
2022-06-04,Few clouds,+79°,+66°
2022-06-05,Few clouds,+75°,+63°
2022-06-06,Clear sky,+79°,+64°
2022-06-07,Broken clouds,+75°,+66°
2022-06-08,Broken clouds,+81°,+68°
2022-06-09,Few clouds,+81°,+70°
2022-06-10,Partly cloudy,+77°,+64°
2022-06-11,Overcast clouds,+75°,+68°
2022-06-12,Heavy intensity rain,+70°,+66°
2022-06-13,Light intensity drizzle,+81°,+68°
2022-06-14,Broken clouds,+79°,+72°
2022-06-15,Few clouds,+79°,+72°
2022-06-16,Broken clouds,+70°,+68°
2022-06-17,Clear sky,+88°,+70°
2022-06-18,Broken clouds,+68°,+73°
2022-06-19,Partly cloudy,+70°,+59°
2022-06-20,Clear sky,+77°,+63°
2022-06-21,Overcast clouds,+75°,+66°
2022-06-22,Overcast clouds,+66°,+66°
2022-06-23,Broken clouds,+72°,+63°
2022-06-24,Light intensity shower rain,+79°,+64°
2022-06-25,Clear sky,+88°,+72°
2022-06-26,Broken clouds,+86°,+75°
2022-06-27,Thunderstorm with heavy rain,+77°,+73°
2022-06-28,Overcast clouds,+77°,+68°
2022-06-29,Few clouds,+82°,+68°
2022-06-30,Few clouds,+86°,+72°
2022-07-01,Broken clouds,+90°,+75°
2022-07-02,Thunderstorm with rain,+84°,+77°
2022-07-03,Clear sky,+84°,+73°
2022-07-04,Clear sky,+84°,+72°
2022-07-05,Overcast clouds,+82°,+73°
2022-07-06,Broken clouds,+88°,+73°
2022-07-07,Broken clouds,+79°,+73°
2022-07-08,Light rain,+82°,+70°
2022-07-09,Broken clouds,+82°,+75°
2022-07-10,Clear sky,+81°,+70°
2022-07-11,Clear sky,+82°,+70°
2022-07-12,Clear sky,+90°,+72°
2022-07-13,Broken clouds,+88°,+75°
2022-07-14,Broken clouds,+86°,+75°
2022-07-15,Few clouds,+82°,+75°
2022-07-16,Light rain,+81°,+73°
2022-07-17,Broken clouds,+81°,+73°
2022-07-18,Light rain,+81°,+77°
2022-07-19,Clear sky,+90°,+75°
2022-07-20,Clear sky,+91°,+79°
2022-07-21,Moderate rain,+88°,+81°
2022-07-22,Few clouds,+91°,+81°
2022-07-23,Clear sky,+93°,+81°
2022-07-24,Broken clouds,+93°,+82°
2022-07-25,Heavy intensity rain,+84°,+82°
2022-07-26,Broken clouds,+82°,+75°
2022-07-27,Few clouds,+82°,+73°
2022-07-28,Broken clouds,+86°,+77°
2022-07-29,Overcast clouds,+84°,+79°
2022-07-30,Broken clouds,+86°,+75°
2022-07-31,Broken clouds,+82°,+75°
2022-08-01,Broken clouds,+75°,+72°
2022-08-02,Clear sky,+88°,+73°
2022-08-03,Clear sky,+86°,+79°
2022-08-04,Clear sky,+90°,+77°
2022-08-05,Partly cloudy,+90°,+81°
2022-08-06,Moderate rain,+86°,+79°
2022-08-07,Few clouds,+90°,+79°
2022-08-08,Broken clouds,+90°,+82°
2022-08-09,Partly cloudy,+93°,+82°
2022-08-10,Partly cloudy,+84°,+81°
2022-08-11,Broken clouds,+86°,+77°
2022-08-12,Clear sky,+82°,+75°
2022-08-13,Clear sky,+79°,+70°
2022-08-14,Few clouds,+81°,+70°
2022-08-15,Partly cloudy,+81°,+70°
2022-08-16,Partly cloudy,+81°,+70°
2022-08-17,Few clouds,+77°,+70°
2022-08-18,Few clouds,+86°,+68°
2022-08-19,Few clouds,+88°,+72°
2022-08-20,Partly cloudy,+88°,+77°
2022-08-21,Broken clouds,+82°,+75°
2022-08-22,Moderate rain,+75°,+73°
2022-08-23,Clear sky,+82°,+73°
2022-08-24,Few clouds,+88°,+73°
2022-08-25,Clear sky,+90°,+75°
2022-08-26,Thunderstorm with rain,+84°,+77°
2022-08-27,Few clouds,+84°,+77°
2022-08-28,Few clouds,+81°,+75°
2022-08-29,Clear sky,+84°,+75°
2022-08-30,Few clouds,+86°,+77°
2022-08-31,Few clouds,+84°,+73°
2022-09-01,Clear sky,+84°,+73°
2022-09-02,Few clouds,+77°,+68°
2022-09-03,Clear sky,+79°,+68°
2022-09-04,Partly cloudy,+84°,+72°
2022-09-05,Drizzle,+81°,+75°
2022-09-06,Heavy intensity rain,+72°,+72°
2022-09-07,Drizzle,+72°,+66°
2022-09-08,Overcast clouds,+77°,+68°
2022-09-09,Clear sky,+81°,+66°
2022-09-10,Partly cloudy,+84°,+68°
2022-09-11,Light intensity drizzle,+73°,+72°
2022-09-12,Broken clouds,+79°,+68°
2022-09-13,Heavy rain in places,+79°,+72°
2022-09-14,Partly cloudy,+79°,+68°
2022-09-15,Clear sky,+73°,+70°
2022-09-16,Few clouds,+75°,+61°
2022-09-17,Few clouds,+73°,+66°
2022-09-18,Partly cloudy,+82°,+68°
2022-09-19,Broken clouds,+84°,+73°
2022-09-20,Broken clouds,+77°,+70°
2022-09-21,Clear sky,+79°,+68°
2022-09-22,Heavy intensity rain,+64°,+72°
2022-09-23,Clear sky,+63°,+57°
2022-09-24,Few clouds,+68°,+52°
2022-09-25,Broken clouds,+72°,+61°
2022-09-26,Clear sky,+73°,+63°
2022-09-27,Broken clouds,+64°,+64°
2022-09-28,Broken clouds,+63°,+63°
2022-10-01,Light intensity drizzle,+57°,+57°
2022-10-02,Heavy intensity rain,+55°,+55°
2022-10-03,Overcast clouds,+54°,+48°
2022-10-04,Light rain,+54°,+55°
2022-10-05,Light rain,+59°,+57°
2022-10-06,Clear sky,+73°,+63°
2022-10-07,Clear sky,+75°,+63°
2022-10-08,Partly cloudy,+59°,+50°
2022-10-09,Clear sky,+63°,+55°
2022-10-10,Clear sky,+68°,+59°
2022-10-11,Clear sky,+70°,+61°
2022-10-12,Partly cloudy,+70°,+61°
2022-10-13,Light rain,+66°,+66°
2022-10-14,Clear sky,+66°,+59°
2022-10-15,Clear sky,+68°,+61°
2022-10-16,Partly cloudy,+66°,+59°
2022-10-17,Broken clouds,+64°,+57°
2022-10-18,Few clouds,+57°,+48°
2022-10-19,Partly cloudy,+54°,+48°
2022-10-20,Clear sky,+59°,+52°
2022-10-21,Clear sky,+63°,+55°
2022-10-22,Few clouds,+66°,+57°
2022-10-23,Light rain,+59°,+57°
2022-10-24,Light rain,+59°,+61°
2022-10-25,Overcast clouds,+68°,+64°
2022-10-26,Broken clouds,+70°,+63°
2022-10-27,Clear sky,+64°,+55°
2022-10-28,Partly cloudy,+55°,+52°
2022-10-29,Clear sky,+59°,+52°
2022-10-30,Clear sky,+61°,+54°
2022-10-31,Partly cloudy,+64°,+61°
2022-11-01,Light rain,+66°,+61°
2022-11-02,Clear sky,+70°,+59°
2022-11-03,Few clouds,+66°,+57°
2022-11-04,Few clouds,+70°,+63°
2022-11-05,Broken clouds,+73°,+66°
2022-11-06,Overcast clouds,+72°,+68°
2022-11-07,Clear sky,+73°,+57°
2022-11-08,Clear sky,+54°,+48°
2022-11-09,Clear sky,+50°,+48°
2022-11-10,Clear sky,+59°,+57°
2022-11-11,Moderate rain,+63°,+68°
2022-11-12,Partly cloudy,+66°,+61°
2022-11-13,Overcast clouds,+50°,+41°
2022-11-14,Few clouds,+43°,+37°
2022-11-15,Broken clouds,+45°,+39°
2022-11-16,Overcast clouds,+46°,+41°
2022-11-17,Few clouds,+43°,+37°
2022-11-18,Partly cloudy,+41°,+36°
2022-11-19,Clear sky,+37°,+36°
2022-11-20,Clear sky,+36°,+30°
2022-11-21,Clear sky,+36°,+39°
2022-11-22,Few clouds,+45°,+43°
2022-11-23,Clear sky,+50°,+43°
2022-11-24,Few clouds,+48°,+46°
2022-11-25,Overcast clouds,+48°,+46°
2022-11-26,Clear sky,+48°,+48°
2022-11-27,Moderate rain,+52°,+55°
2022-11-28,Broken clouds,+48°,+41°
2022-11-29,Overcast clouds,+41°,+41°
2022-11-30,Moderate rain,+54°,+43°
2022-12-01,Partly cloudy,+39°,+34°
2022-12-02,Clear sky,+39°,+43°
2022-12-03,Light rain,+54°,+46°
2022-12-04,Partly cloudy,+41°,+37°
2022-12-05,Partly cloudy,+43°,+41°
2022-12-06,Moderate rain,+52°,+55°
2022-12-07,Overcast clouds,+55°,+54°
2022-12-08,Partly cloudy,+50°,+43°
2022-12-09,Clear sky,+41°,+36°
2022-12-10,Broken clouds,+37°,+37°
2022-12-11,Light rain,+37°,+34°
2022-12-12,Broken clouds,+36°,+28°
2022-12-13,Clear sky,+34°,+32°
2022-12-14,Partly cloudy,+34°,+34°
2022-12-15,Moderate rain,+39°,+41°
2022-12-16,Light rain,+45°,+39°
2022-12-17,Broken clouds,+41°,+36°
2022-12-18,Overcast clouds,+39°,+34°
2022-12-19,Clear sky,+37°,+32°
2022-12-20,Clear sky,+37°,+32°
2022-12-21,Clear sky,+39°,+32°
2022-12-22,Light intensity drizzle,+46°,+34°
2022-12-23,Heavy intensity rain,+41°,+48°
2022-12-24,Broken clouds,+14°,+10°
2022-12-25,Clear sky,+27°,+16°
2022-12-26,Broken clouds,+28°,+21°
2022-12-27,Clear sky,+34°,+28°
2022-12-28,Partly cloudy,+43°,+32°
2022-12-29,Broken clouds,+46°,+36°
2022-12-30,Clear sky,+54°,+46°
2022-12-31,Drizzle,+54°,+52°
2023-01-01,Clear sky,+54°,+54°
2023-01-02,Broken clouds,+54°,+48°
2023-01-03,Heavy intensity rain,+50°,+54°
2023-01-04,Broken clouds,+64°,+57°
2023-01-05,Overcast clouds,+54°,+55°
2023-01-06,Heavy rain in places,+46°,+46°
2023-01-07,Few clouds,+46°,+39°
2023-01-08,Broken clouds,+41°,+37°
2023-01-09,Clear sky,+45°,+39°
2023-01-10,Overcast clouds,+43°,+37°
2023-01-11,Overcast clouds,+39°,+37°
2023-01-12,Drizzle,+46°,+36°
2023-01-13,Broken clouds,+52°,+55°
2023-01-14,Overcast clouds,+36°,+37°
2023-01-15,Few clouds,+41°,+32°
2023-01-16,Clear sky,+43°,+32°
2023-01-17,Overcast clouds,+45°,+36°
2023-01-18,Broken clouds,+50°,+45°
2023-01-19,Heavy intensity rain,+41°,+45°
2023-01-20,Overcast clouds,+48°,+41°
2023-01-21,Broken clouds,+43°,+41°
2023-01-22,Overcast clouds,+43°,+34°
2023-01-23,Light intensity drizzle,+37°,+39°
2023-01-24,Partly cloudy,+45°,+34°
2023-01-25,Drizzle,+39°,+36°
2023-01-26,Broken clouds,+46°,+52°
2023-01-27,Partly cloudy,+43°,+39°
2023-01-28,Broken clouds,+50°,+36°
2023-01-29,Overcast clouds,+50°,+45°
2023-01-30,Partly cloudy,+48°,+46°
2023-01-31,Overcast clouds,+39°,+48°
2023-02-01,Few clouds,+37°,+32°
2023-02-02,Clear sky,+39°,+30°
2023-02-03,Partly cloudy,+23°,+34°
2023-02-04,Few clouds,+19°,+10°
2023-02-05,Broken clouds,+46°,+28°
2023-02-06,Clear sky,+50°,+43°
2023-02-07,Broken clouds,+39°,+34°
2023-02-08,Clear sky,+50°,+43°
2023-02-09,Overcast clouds,+48°,+43°
2023-02-10,Few clouds,+57°,+55°
2023-02-11,Clear sky,+45°,+45°
2023-02-12,Broken clouds,+46°,+36°
2023-02-13,Few clouds,+54°,+41°
2023-02-14,Clear sky,+52°,+46°
2023-02-15,Clear sky,+61°,+46°
2023-02-16,Overcast clouds,+64°,+59°
2023-02-17,Light intensity drizzle,+59°,+59°
2023-02-18,Clear sky,+41°,+32°
2023-02-19,Overcast clouds,+48°,+39°
2023-02-20,Few clouds,+55°,+48°
2023-02-21,Overcast clouds,+45°,+50°
2023-02-22,Drizzle,+43°,+41°
2023-02-23,Overcast clouds,+43°,+41°
2023-02-24,Clear sky,+39°,+43°
2023-02-25,Snow,+28°,+27°
2023-02-26,Few clouds,+43°,+32°
2023-02-27,Broken clouds,+39°,+36°
2023-02-28,Rain and snow,+37°,+36°
2023-03-01,Partly cloudy,+43°,+34°
2023-03-02,Broken clouds,+52°,+43°
2023-03-03,Overcast clouds,+45°,+41°
2023-03-04,Overcast clouds,+43°,+41°
2023-03-05,Broken clouds,+52°,+39°
2023-03-06,Broken clouds,+50°,+43°
2023-03-07,Clear sky,+43°,+41°
2023-03-08,Few clouds,+45°,+34°
2023-03-09,Broken clouds,+48°,+37°
2023-03-10,Overcast clouds,+46°,+39°
2023-03-11,Drizzle,+43°,+41°
2023-03-12,Broken clouds,+46°,+37°
2023-03-13,Light intensity drizzle,+43°,+41°
2023-03-14,Snow,+36°,+39°
2023-03-15,Few clouds,+43°,+34°
2023-03-16,Few clouds,+54°,+34°
2023-03-17,Broken clouds,+55°,+50°
2023-03-18,Broken clouds,+50°,+52°
2023-03-19,Few clouds,+39°,+39°
2023-03-20,Clear sky,+48°,+34°
2023-03-21,Clear sky,+59°,+43°
2023-03-22,Overcast clouds,+57°,+50°
2023-03-23,Light intensity drizzle,+55°,+50°
2023-03-24,Overcast clouds,+52°,+54°
2023-03-25,Heavy intensity rain,+43°,+46°
2023-03-26,Clear sky,+59°,+45°
2023-03-27,Broken clouds,+57°,+50°
2023-03-28,Partly cloudy,+50°,+45°
2023-03-29,Few clouds,+52°,+43°
2023-03-30,Clear sky,+45°,+41°
2023-03-31,Overcast clouds,+50°,+39°
